City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
haines junction,60.75,-137.51,59.36,70,98,1.81,CA,1596290466
kununurra,-15.77,128.73,60.8,23,22,11.18,AU,1596290466
arraial do cabo,-22.97,-42.03,71.6,68,40,9.17,BR,1596290467
huangchuan,32.13,115.04,83.62,77,100,6.06,CN,1596290467
ushuaia,-54.8,-68.3,41.0,86,75,4.83,AR,1596290467
kaka,37.35,59.61,88.65,19,0,10.65,TM,1596290467
hilo,19.73,-155.09,73.4,83,90,9.17,US,1596290468
karoi,-16.81,29.69,73.26,20,0,9.15,ZW,1596290468
nuuk,64.18,-51.72,48.2,87,90,24.16,GL,1596290451
kantang,7.41,99.52,77.0,100,20,2.24,TH,1596290468
longyearbyen,78.22,15.64,53.6,71,20,3.36,SJ,1596290469
san cristobal,7.77,-72.22,86.0,55,20,24.16,VE,1596290469
passagem franca,-6.18,-43.78,86.5,40,0,10.18,BR,1596290469
dedza,-14.38,34.33,63.0,40,0,8.16,MW,1596290469
nanortalik,60.14,-45.24,46.38,84,50,13.47,GL,1596290469
waipawa,-41.41,175.52,48.2,87,96,4.7,NZ,1596290470
bonthe,7.53,-12.51,75.29,93,100,12.71,SL,1596290470
butaritari,3.07,172.79,82.63,80,100,11.34,KI,1596290470
maniitsoq,65.42,-52.9,45.55,94,100,17.72,GL,1596290470
khatanga,71.97,102.5,69.35,57,100,9.24,RU,1596290471
kapaa,22.08,-159.32,78.8,74,20,16.11,US,1596290471
ilulissat,69.22,-51.1,44.6,93,75,3.36,GL,1596290471
fort-shevchenko,44.51,50.26,83.3,41,0,17.43,KZ,1596290471
kailua,21.4,-157.74,77.0,61,20,11.41,US,1596290472
porto novo,6.5,2.6,82.4,78,40,11.41,BJ,1596290472
sacile,45.95,12.5,100.0,56,0,1.99,IT,1596290473
belaya gora,68.53,146.42,49.57,82,38,6.49,RU,1596290473
barrow,71.29,-156.79,32.0,89,90,9.17,US,1596290306
avera,33.19,-82.53,84.2,79,1,5.82,US,1596290473
barcelos,41.54,-8.62,81.0,73,0,13.87,PT,1596290474
busselton,-33.65,115.33,51.01,76,65,4.68,AU,1596290248
torbay,47.67,-52.73,64.0,93,90,4.7,CA,1596290242
coahuayana,18.73,-103.68,73.4,78,40,3.18,MX,1596290474
korla,41.76,86.15,87.35,18,26,1.1,CN,1596290475
andenes,69.31,16.12,57.2,82,75,9.17,NO,1596290475
vardo,70.37,31.11,50.0,93,75,5.82,NO,1596290475
tandil,-37.32,-59.13,50.0,80,89,4.0,AR,1596290402
dabat,12.98,37.77,57.4,93,68,5.08,ET,1596290475
bacuyangan,9.64,122.47,80.11,77,100,3.85,PH,1596290476
coihaique,-45.58,-72.07,35.6,100,90,5.82,CL,1596290476
sinnamary,5.38,-52.95,84.85,65,5,2.82,GF,1596290476
sakakah,29.97,40.21,105.8,7,0,16.11,SA,1596290476
sao gabriel da cachoeira,-0.13,-67.09,85.75,53,42,1.79,BR,1596290477
ayagoz,47.97,80.44,76.33,30,76,12.77,KZ,1596290477
hasaki,35.73,140.83,73.4,88,75,9.17,JP,1596290477
puerto ayora,-0.74,-90.35,69.01,91,92,1.01,EC,1596290477
kokorevka,52.59,34.28,60.8,87,75,13.42,RU,1596290478
hobart,-42.88,147.33,59.0,51,20,17.22,AU,1596290403
hachinohe,40.5,141.5,69.8,94,90,4.7,JP,1596290190
hihya,30.67,31.59,96.8,25,0,12.75,EG,1596290478
atbasar,51.8,68.33,82.24,40,0,7.47,KZ,1596290478
faanui,-16.48,-151.75,77.36,80,40,11.59,PF,1596290479
olavarria,-36.89,-60.32,46.99,86,99,4.0,AR,1596290479
sao joao da barra,-21.64,-41.05,73.4,69,40,9.17,BR,1596290235
codrington,-38.27,141.97,48.04,91,29,7.11,AU,1596290479
iqaluit,63.75,-68.51,59.0,77,75,16.11,CA,1596290480
severnyy,50.68,36.55,68.0,56,25,11.18,RU,1596290480
tasiilaq,65.61,-37.64,55.4,26,20,4.7,GL,1596290480
victoria,22.29,114.16,81.0,88,100,15.99,HK,1596290367
leningradskiy,69.38,178.42,39.47,74,100,1.79,RU,1596290480
san pedro,14.35,121.02,79.0,94,100,4.29,PH,1596290481
souillac,-20.52,57.52,75.2,69,40,10.29,MU,1596290481
baruun-urt,46.68,113.28,69.33,31,100,7.83,MN,1596290481
kiunga,-6.12,141.29,72.14,85,100,3.58,PG,1596290481
lagoa,39.05,-27.98,70.36,69,0,8.57,PT,1596290481
mar del plata,-38.0,-57.56,48.99,100,52,3.36,AR,1596290243
kanepi,57.98,26.76,64.99,55,11,9.17,EE,1596290482
port alfred,-33.59,26.89,65.05,62,0,7.56,ZA,1596290482
adre,13.47,22.2,72.99,88,100,7.36,TD,1596290483
carnarvon,-24.87,113.63,66.2,77,53,17.22,AU,1596290483
shelburne,44.08,-80.2,75.99,78,1,2.24,CA,1596290433
ancud,-41.87,-73.82,51.01,100,90,11.41,CL,1596290483
comodoro rivadavia,-45.87,-67.5,53.6,46,100,18.34,AR,1596290377
nikolskoye,59.7,30.79,66.2,48,40,8.95,RU,1596290484
new norfolk,-42.78,147.06,57.99,74,64,7.0,AU,1596290484
katsuura,35.13,140.3,77.0,88,7,12.3,JP,1596290484
garowe,8.41,48.48,87.24,40,95,25.75,SO,1596290485
flers,48.74,-0.57,73.4,56,90,13.87,FR,1596290485
narsaq,60.92,-46.05,51.8,66,75,3.36,GL,1596290485
cabo san lucas,22.89,-109.91,81.0,65,20,4.9,MX,1596290485
kapoeta,4.77,33.59,86.95,48,100,12.19,SS,1596290485
sumbe,-11.21,13.84,74.98,70,83,8.72,AO,1596290486
lompoc,34.64,-120.46,53.6,100,0,3.36,US,1596290451
westport,41.14,-73.36,82.0,57,1,3.36,US,1596290486
tiksi,71.69,128.87,40.46,90,0,2.57,RU,1596290486
rabo de peixe,37.8,-25.58,75.2,69,40,5.82,PT,1596290487
dingle,11.0,122.67,77.7,84,100,0.78,PH,1596290487
gazojak,41.19,61.4,94.33,15,0,10.13,TM,1596290487
lorengau,-2.02,147.27,81.1,79,100,5.35,PG,1596290487
east london,-33.02,27.91,68.0,60,0,6.93,ZA,1596290487
kita,13.03,-9.49,85.03,66,100,5.35,ML,1596290488
shimoda,34.67,138.95,71.01,90,96,6.49,JP,1596290488
mount isa,-20.73,139.5,50.0,37,0,10.16,AU,1596290414
husavik,66.04,-17.34,59.0,72,75,5.82,IS,1596290488
gibara,21.11,-76.13,80.6,88,75,6.93,CU,1596290488
yellowknife,62.46,-114.35,64.0,77,40,10.29,CA,1596290321
borzya,50.38,116.52,60.98,86,96,8.01,RU,1596290489
baracoa,20.35,-74.5,86.72,67,59,6.62,CU,1596290489
gusau,12.16,6.66,86.94,57,2,11.5,NG,1596290489
berlevag,70.86,29.09,49.96,85,98,8.93,NO,1596290489
bilibino,68.05,166.44,45.91,85,100,1.86,RU,1596290490
lantawan,10.62,123.98,75.2,94,90,3.36,PH,1596290490
kavaratti,10.57,72.64,80.64,85,100,21.77,IN,1596290490
kodiak,57.79,-152.41,48.2,87,75,4.7,US,1596290490
monopoli,40.96,17.29,91.4,52,40,18.34,IT,1596290491
dunedin,-45.87,170.5,50.0,87,11,4.0,NZ,1596290491
fereydun kenar,36.69,52.52,86.0,58,20,4.7,IR,1596290491
oranjemund,-28.55,16.43,81.43,16,0,1.88,NA,1596290491
kavieng,-2.57,150.8,79.23,85,100,5.84,PG,1596290491
upernavik,72.79,-56.15,43.48,62,12,10.87,GL,1596290492
maneromango,-7.2,38.78,84.2,39,20,16.11,TZ,1596290492
ribeira grande,38.52,-28.7,75.2,64,40,5.82,PT,1596290492
sishui,35.65,117.28,80.49,86,100,4.18,CN,1596290493
caluquembe,-13.78,14.68,83.79,15,14,3.22,AO,1596290493
saint-philippe,-21.36,55.77,71.6,73,90,19.46,RE,1596290493
synya,65.37,58.04,60.8,64,24,7.58,RU,1596290493
atambua,-9.11,124.89,67.28,87,2,5.7,ID,1596290493
ust-kulom,61.69,53.69,62.51,88,24,5.48,RU,1596290494
komsomolskiy,40.43,71.72,87.8,29,4,9.17,UZ,1596290494
ponta do sol,32.67,-17.1,78.8,57,20,16.11,PT,1596290494
deputatskiy,69.3,139.9,46.58,85,96,2.91,RU,1596290494
petropavlovsk-kamchatskiy,53.05,158.65,53.6,81,40,6.71,RU,1596290495
prince rupert,54.32,-130.32,60.8,87,90,9.17,CA,1596290495
saint-joseph,-21.37,55.62,71.6,73,90,19.46,RE,1596290495
jumla,29.27,82.18,63.9,73,58,1.9,NP,1596290495
vostok,46.49,135.88,64.0,100,99,5.37,RU,1596290495
guaratinga,-16.57,-39.57,73.4,78,75,5.82,BR,1596290496
vengurla,15.87,73.63,80.76,85,96,9.46,IN,1596290496
sulangan,11.14,123.72,83.26,72,100,5.12,PH,1596290496
hami,42.8,93.45,85.64,13,0,9.35,CN,1596290497
saint george,37.1,-113.58,81.0,22,1,1.88,US,1596290378
aksu,41.12,80.26,86.88,15,0,8.25,CN,1596290497
bogatoye,53.06,51.33,80.83,43,100,10.63,RU,1596290497
yenagoa,4.92,6.26,83.62,62,88,7.63,NG,1596290497
chokurdakh,70.63,147.92,53.06,68,100,5.21,RU,1596290498
kelo,9.31,15.81,83.97,73,100,7.11,TD,1596290498
bambous virieux,-20.34,57.76,75.2,69,40,10.29,MU,1596290498
soyo,-6.13,12.37,76.03,68,74,10.78,AO,1596290498
man,7.41,-7.55,75.72,92,100,3.27,CI,1596290499
tuatapere,-46.13,167.68,51.96,86,100,5.95,NZ,1596290499
bandarbeyla,9.49,50.81,84.0,56,60,29.97,SO,1596290499
dikson,73.51,80.55,48.74,96,100,0.29,RU,1596290499
provideniya,64.38,-173.3,43.93,78,0,6.98,RU,1596290500
santa cruz,-17.8,-63.17,73.4,60,40,2.24,BO,1596290385
talaya,61.38,152.75,44.04,76,100,1.68,RU,1596290500
honiara,-9.43,159.95,75.2,100,75,3.36,SB,1596290501
yumbe,3.47,31.25,77.85,72,100,3.18,UG,1596290501
necochea,-38.55,-58.74,48.99,83,66,11.01,AR,1596290501
constantine,36.37,6.61,100.4,11,20,10.29,DZ,1596290501
tuktoyaktuk,69.45,-133.04,55.4,93,90,11.41,CA,1596290502
honningsvag,70.98,25.97,50.85,86,100,8.72,NO,1596290502
dakar,14.69,-17.44,87.8,70,40,9.17,SN,1596290502
luderitz,-26.65,15.16,93.2,9,0,8.05,NA,1596290502
mirante do paranapanema,-22.29,-51.91,68.0,56,0,10.29,BR,1596290503
san quintin,30.48,-115.95,69.93,76,0,6.8,MX,1596290503
flinders,-34.58,150.86,51.01,81,0,1.01,AU,1596290503
puerto del rosario,28.5,-13.86,78.8,74,20,11.41,ES,1596290504
erenhot,43.65,111.98,78.37,21,7,7.78,CN,1596290504
meulaboh,4.14,96.13,79.12,81,100,1.61,ID,1596290504
cayenne,4.93,-52.33,86.0,70,75,2.24,GF,1596290504
battle creek,42.32,-85.18,69.8,77,1,5.82,US,1596290408
pacific grove,36.62,-121.92,60.8,82,90,6.93,US,1596290505
bud,39.45,-86.18,66.99,93,90,8.05,US,1596290505
klaksvik,62.23,-6.59,53.6,87,3,12.75,FO,1596290505
shadrinsk,56.09,63.63,75.69,72,84,5.26,RU,1596290505
eureka,40.8,-124.16,55.0,100,49,4.25,US,1596290408
bredasdorp,-34.53,20.04,68.0,52,0,5.82,ZA,1596290506
atar,20.52,-13.05,103.01,25,0,8.72,MR,1596290506
solwezi,-12.17,26.39,79.39,23,0,7.92,ZM,1596290419
riberalta,-10.98,-66.1,85.89,36,0,3.67,BO,1596290506
te anau,-45.42,167.72,50.29,91,97,4.0,NZ,1596290507
piacabucu,-10.41,-36.43,75.49,84,74,13.04,BR,1596290507
mehamn,71.04,27.85,50.4,83,91,8.32,NO,1596290507
asau,46.43,26.4,72.0,65,60,5.5,RO,1596290507
fortuna,40.6,-124.16,55.99,95,29,3.89,US,1596290507
umm lajj,25.02,37.27,91.08,67,0,16.33,SA,1596290508
eura,61.13,22.13,68.0,52,91,6.93,FI,1596290508
sembakung,3.82,117.25,74.46,95,100,0.98,ID,1596290508
dingzhou,38.51,115.0,71.6,88,90,8.95,CN,1596290508
hithadhoo,-0.6,73.08,83.48,73,91,9.93,MV,1596290508
san jose,37.34,-121.89,57.99,87,20,3.36,US,1596290222
hirara,24.8,125.28,84.96,77,1,19.77,JP,1596290509
barela,23.1,80.05,87.8,66,40,4.7,IN,1596290509
pevek,69.7,170.31,36.07,96,100,1.81,RU,1596290509
kamsack,51.57,-101.9,57.2,93,1,5.82,CA,1596290509
maceio,-9.67,-35.74,78.8,78,75,14.99,BR,1596290447
vestmannaeyjar,63.44,-20.27,59.0,82,75,9.17,IS,1596290510
kitimat,54.05,-128.65,57.2,93,75,6.93,CA,1596290510
bengkulu,-3.8,102.27,76.48,89,30,7.85,ID,1596290510
ternate,0.8,127.4,80.58,78,94,1.03,ID,1596290511
taltal,-25.4,-70.48,61.3,60,48,1.66,CL,1596290511
pasighat,28.07,95.33,80.69,81,53,1.95,IN,1596290511
tombouctou,20.0,-3.0,109.11,7,0,6.96,ML,1596290511
berdigestyakh,62.1,126.7,57.9,67,0,2.01,RU,1596290512
irpa irpa,-17.72,-66.27,60.8,47,75,2.77,BO,1596290512
girua,-28.03,-54.35,70.0,74,0,1.01,BR,1596290512
port augusta,-32.5,137.77,55.4,43,100,8.05,AU,1596290512
basco,20.45,121.97,84.16,77,100,4.43,PH,1596290513
mae sai,20.43,99.88,78.8,100,20,6.93,TH,1596290513
beringovskiy,63.05,179.32,49.03,81,100,7.94,RU,1596290513
chuguyevka,44.17,133.86,69.55,92,100,4.09,RU,1596290513
sao miguel do araguaia,-13.28,-50.16,84.07,31,0,12.35,BR,1596290319
la solana,38.94,-3.24,99.0,4,0,10.0,ES,1596290514
sao filipe,14.9,-24.5,76.95,79,77,8.79,CV,1596290514
aswan,24.09,32.91,115.11,11,23,12.01,EG,1596290514
talnakh,69.49,88.4,66.2,59,74,8.95,RU,1596290514
muli,2.92,73.57,83.3,75,52,11.72,MV,1596290514
okato,-39.2,173.88,48.99,92,100,11.65,NZ,1596290515
ponta delgada,37.73,-25.67,75.2,69,40,5.82,PT,1596290515
pine bluff,34.23,-92.0,73.99,78,90,6.93,US,1596290515
letpadan,17.78,95.75,81.57,83,100,10.71,MM,1596290515
kingman,35.19,-114.05,91.0,24,1,3.36,US,1596290343
san patricio,19.22,-104.7,81.55,71,47,3.33,MX,1596290516
mirabad,30.44,61.84,103.68,13,0,10.16,AF,1596290516
zeya,53.75,127.27,60.03,91,99,5.41,RU,1596290516
bethel,41.37,-73.41,77.0,65,1,5.82,US,1596290370
bilma,18.69,12.92,100.94,28,67,9.01,NE,1596290517
narrabri,-30.32,149.78,46.0,75,0,2.24,AU,1596290517
yar-sale,66.83,70.83,59.85,78,91,15.01,RU,1596290517
begowala,32.44,74.27,91.4,63,20,3.4,PK,1596290517
sorong,-0.88,131.25,79.57,87,89,16.55,ID,1596290517
howard springs,-12.5,131.05,71.6,78,0,3.36,AU,1596290518
cidreira,-30.18,-50.21,64.98,65,0,2.82,BR,1596290518
geraldton,-28.77,114.6,53.6,87,89,8.05,AU,1596290518
richards bay,-28.78,32.04,78.53,41,0,8.3,ZA,1596290518
soure,-0.72,-48.52,85.17,62,0,8.72,BR,1596290358
beipiao,41.79,120.78,75.11,77,99,7.38,CN,1596290519
cangzhou,38.32,116.87,87.04,55,100,8.97,CN,1596290519
aflao,6.12,1.19,84.2,70,40,13.87,TG,1596290519
kruisfontein,-34.0,24.73,66.0,68,0,6.31,ZA,1596290519
cuamba,-14.8,36.54,72.81,44,85,7.43,MZ,1596290520
nara,34.69,135.8,84.99,46,65,2.13,JP,1596290520
nizhnyaya tavda,57.67,66.17,71.92,81,100,5.82,RU,1596290520
saryozek,44.36,77.98,80.47,26,34,8.34,KZ,1596290520
ulaanbaatar,47.91,106.88,57.2,76,75,8.95,MN,1596290520
touros,-5.2,-35.46,80.6,74,75,10.29,BR,1596290521
tahe,52.33,124.73,62.92,95,93,1.28,CN,1596290521
sola,-13.88,167.55,76.95,87,38,3.62,VU,1596290521
batagay,67.63,134.63,53.73,61,20,3.15,RU,1596290521
belyy yar,53.6,91.39,62.6,63,100,6.71,RU,1596290522
pampa,35.54,-100.96,69.8,68,1,4.7,US,1596290291
faya,18.39,42.45,71.6,88,40,14.99,SA,1596290522
luganville,-15.53,167.17,76.12,84,79,3.89,VU,1596290522
stokmarknes,68.56,14.91,60.8,87,20,11.41,NO,1596290523
sovetskiy,61.36,63.58,71.17,48,40,5.68,RU,1596290523
severo-kurilsk,50.68,156.12,51.87,89,30,10.69,RU,1596290523
lagodekhi,41.83,46.28,86.0,40,20,4.7,GE,1596290524
itarema,-2.92,-39.92,87.35,48,84,13.8,BR,1596290524
muros,42.78,-9.06,78.01,49,40,9.17,ES,1596290524
port elizabeth,-33.92,25.57,66.2,68,0,8.05,ZA,1596290524
sawakin,19.11,37.33,96.64,45,82,10.56,SD,1596290525
klyuchi,52.27,79.17,71.42,56,0,6.93,RU,1596290525
dalhousie,32.53,75.98,67.39,94,2,2.55,IN,1596290525
shitkino,56.37,98.35,63.7,91,98,1.77,RU,1596290417
boyolangu,-8.12,111.89,73.2,85,78,7.11,ID,1596290526
charters towers,-20.1,146.27,56.41,84,1,8.61,AU,1596290526
hofn,64.25,-15.21,51.8,93,90,19.46,IS,1596290526
kurilsk,45.23,147.88,57.13,91,61,7.63,RU,1596290526
tutoia,-2.76,-42.27,85.8,50,80,5.19,BR,1596290526
lodja,-3.48,23.43,99.01,23,5,1.07,CD,1596290527
teguldet,57.31,88.17,61.74,72,100,4.43,RU,1596290527
ranfurly,-45.13,170.1,43.0,82,16,5.37,NZ,1596290527
kargil,34.57,76.1,67.1,33,64,9.26,IN,1596290527
tokur,53.13,132.9,51.39,97,100,6.02,RU,1596290528
lebu,-37.62,-73.65,52.12,97,100,8.41,CL,1596290528
nerchinskiy zavod,51.31,119.61,63.05,92,62,4.83,RU,1596290528
liaoyang,41.27,123.17,75.2,78,99,4.47,CN,1596290528
norman wells,65.28,-126.83,62.6,77,40,8.05,CA,1596290528
abu samrah,35.3,37.18,97.16,22,0,23.87,SY,1596290529
zhangye,38.93,100.45,77.45,18,32,4.99,CN,1596290529
port lincoln,-34.73,135.87,54.99,91,9,7.14,AU,1596290529
chabahar,25.29,60.64,84.72,81,2,12.57,IR,1596290423
puerto madero,14.72,-92.42,77.0,78,75,5.82,MX,1596290530
mahebourg,-20.41,57.7,75.2,69,40,10.29,MU,1596290530
altamira,-3.2,-52.21,88.83,42,0,4.25,BR,1596290393
aripuana,-9.17,-60.63,88.03,28,0,5.57,BR,1596290530
jiazi,22.88,116.07,81.59,86,100,13.76,CN,1596290531
las vegas,36.17,-115.14,95.0,20,1,5.82,US,1596290426
saldanha,-33.01,17.94,77.0,29,0,3.36,ZA,1596290531
ballina,-28.87,153.57,54.0,93,9,3.83,AU,1596290531
shingu,33.73,135.98,75.61,90,99,1.77,JP,1596290532
argelia,2.26,-77.25,75.02,51,50,5.32,CO,1596290532
aykhal,66.0,111.5,66.2,39,0,6.71,RU,1596290532
flin flon,54.77,-101.86,62.6,82,5,4.7,CA,1596290433
patea,-39.76,174.48,42.01,92,100,3.98,NZ,1596290532
tiarei,-17.53,-149.33,71.6,88,20,3.36,PF,1596290533
sorland,67.67,12.69,56.14,89,33,13.2,NO,1596290533
port hedland,-20.32,118.57,62.6,45,0,4.7,AU,1596290533
cap-aux-meules,47.38,-61.86,64.4,88,90,14.99,CA,1596290533
pulaski,34.77,-92.3,75.99,73,75,14.99,US,1596290533
binga,-17.62,27.34,75.92,23,0,8.32,ZW,1596290534
tautira,-17.73,-149.15,71.6,88,20,3.36,PF,1596290534
helong,42.54,129.0,68.5,87,100,1.9,CN,1596290534
kawalu,-7.38,108.21,71.6,88,92,1.83,ID,1596290535
hervey bay,-25.3,152.85,59.0,90,8,4.0,AU,1596290535
santander,43.46,-3.8,72.0,78,75,8.05,ES,1596290535
matay,28.42,30.78,107.94,7,0,15.41,EG,1596290535
anshun,26.25,105.93,67.8,94,4,7.56,CN,1596290536
hillsboro,45.52,-122.99,61.0,93,1,3.36,US,1596290469
kungurtug,50.6,97.52,50.32,79,99,2.98,RU,1596290536
moerai,-22.43,-151.33,72.79,75,3,3.71,PF,1596290536
pak thong chai,14.72,102.03,76.08,92,100,8.46,TH,1596290537
sitka,57.05,-135.33,60.8,82,90,10.29,US,1596290537
terrace bay,48.78,-87.1,60.8,93,75,2.24,CA,1596290537
steinbach,50.17,8.57,88.0,54,20,12.75,DE,1596290537
north bend,43.41,-124.22,61.0,100,75,4.7,US,1596290537
teacapan,22.55,-105.75,81.1,77,100,2.04,MX,1596290538
itabira,-19.62,-43.23,66.2,63,75,12.75,BR,1596290538
pochutla,15.74,-96.47,81.0,78,5,2.33,MX,1596290538
durango,24.83,-104.83,67.3,64,1,2.55,MX,1596290387
juba,4.85,31.58,85.05,62,51,1.32,SS,1596290411
luyang,27.62,110.1,80.73,76,0,3.38,CN,1596290539
povenets,62.85,34.83,59.47,68,99,7.56,RU,1596290539
fare,-16.7,-151.02,77.94,80,0,14.23,PF,1596290539
guadalupe y calvo,26.1,-106.97,60.28,81,0,4.65,MX,1596290539
chiredzi,-21.05,31.67,77.81,29,0,7.94,ZW,1596290539
xining,36.62,101.77,63.43,55,15,3.74,CN,1596290540
mattru,7.62,-11.83,74.35,96,100,6.06,SL,1596290540
morondava,-20.28,44.28,76.51,66,1,11.97,MG,1596290540
poso,-1.4,120.75,76.87,83,100,5.64,ID,1596290540
hualmay,-11.1,-77.61,61.27,80,77,7.18,PE,1596290540
borba,-4.39,-59.59,91.17,32,1,3.29,BR,1596290541
kahului,20.89,-156.47,73.4,73,1,6.93,US,1596290541
tambura,5.6,27.47,82.38,77,48,3.04,SS,1596290541
fairbanks,64.84,-147.72,59.0,87,75,3.36,US,1596290541
nouakchott,18.09,-15.98,91.4,52,20,16.11,MR,1596290467
cidahu,-6.31,106.06,78.8,69,20,3.36,ID,1596290542
mandalgovi,45.76,106.27,57.7,74,86,24.87,MN,1596290542
kidal,18.44,1.41,101.53,26,63,16.2,ML,1596290542
wilmington,34.23,-77.94,90.0,66,20,11.41,US,1596290421
minggang,32.46,114.05,82.56,79,100,6.04,CN,1596290542
vero beach,27.64,-80.4,86.0,70,1,6.93,US,1596290511
guerrero negro,27.98,-114.06,75.25,65,4,2.24,MX,1596290543
sambava,-14.27,50.17,75.83,75,12,21.23,MG,1596290543
tarskoye,42.97,44.77,87.8,38,40,6.71,RU,1596290543
ahipara,-35.17,173.17,56.95,82,100,11.52,NZ,1596290543
kharp,66.8,65.81,58.21,86,87,7.72,RU,1596290544
chandla,25.08,80.2,93.72,51,13,6.17,IN,1596290544
vila velha,-20.33,-40.29,69.8,77,75,5.82,BR,1596290305
tilichiki,60.47,166.1,49.82,92,86,0.4,RU,1596290544
vera cruz,-12.63,-41.03,75.7,50,56,9.24,BR,1596290544
zhangjiakou,40.81,114.88,71.56,80,100,1.12,CN,1596290545
lasa,46.62,10.7,80.6,32,40,8.05,IT,1596290545
wahpeton,46.27,-96.61,66.99,82,90,10.29,US,1596290545
masyaf,35.07,36.34,87.8,62,40,13.87,SY,1596290545
gimli,50.63,-96.99,68.0,99,0,7.0,CA,1596290545
abu dhabi,24.47,54.37,105.8,48,0,10.29,AE,1596290374
guadalajara,20.67,-103.33,62.6,88,90,4.7,MX,1596290504
viedma,-40.81,-63.0,52.0,63,100,8.99,AR,1596290546
bose,45.46,8.01,96.01,54,0,1.99,IT,1596290546
montepuez,-13.13,39.0,76.24,42,98,8.75,MZ,1596290546
mabaruma,8.2,-59.78,88.11,58,31,3.76,GY,1596290547
esperance,-33.87,121.9,51.8,76,84,5.82,AU,1596290547
shubarkuduk,49.14,56.49,92.91,15,9,8.63,KZ,1596290547
nizwa,22.93,57.53,106.03,16,5,3.31,OM,1596290547
riacho de santana,-13.61,-42.94,78.62,39,0,14.99,BR,1596290548
la rioja,42.25,-2.5,80.6,51,20,9.17,ES,1596290548
wairoa,-39.03,177.37,46.99,81,96,2.98,NZ,1596290548
mildura,-34.2,142.15,48.2,61,100,4.7,AU,1596290548
wamba,8.93,8.6,81.0,79,41,5.35,NG,1596290549
la asuncion,11.03,-63.86,84.2,79,0,10.29,VE,1596290549
koshurnikovo,54.17,93.3,51.19,100,100,0.58,RU,1596290549
umm kaddadah,13.6,26.69,72.28,83,100,6.08,SD,1596290549
spassk-ryazanskiy,54.41,40.38,66.72,67,100,5.68,RU,1596290550
ambilobe,-13.2,49.05,82.69,52,30,1.77,MG,1596290550
axim,4.87,-2.24,79.95,68,23,11.25,GH,1596290550
chapais,49.78,-74.85,71.6,73,1,4.63,CA,1596290464
